title	company	period	location	description	tech	visible
Junior Engineer	Paradigm IT Private Limited	Dec 2024 — Present	Infopark, Kochi, India	Preparing construction-ready AutoCAD and Revit drawings for infrastructure works || Contributing to BIM-based modeling and detailing processes || Supporting geotechnical and soil-related documentation using site data || Coordinating with design and rebar teams to align drawings with project requirements	AutoCAD || Revit || BIM Modelling || BIM 360 || Autodesk Construction Cloud (ACC)	true
Trainee Engineer	Paradigm IT Private Limited	Jul 2024 — Dec 2024	Infopark, Kochi, India	Prepared geotechnical and infrastructure formwork drawings using AutoCAD || Assisted in revisions and updates for ongoing infrastructure projects || Supported drawing coordination and documentation tasks || Gained practical exposure to engineering workflows and construction processes	AutoCAD || Geotechnical Drawings || Infrastructure Formwork Drawings || Navisworks	true
Project Head (Part-Time)	VBlaze	Jan 2023 — Jun 2024	Remote / On-site	Led development of web-based projects using modern frontend technologies || Managed small teams, assigned tasks, and ensured timely delivery || Resolved technical and design challenges while maintaining quality standards || Strengthened leadership, problem-solving, and coordination skills	React || Tailwind CSS || JavaScript	true
Frontend Developer	VBlaze	Jun 2022 — Jun 2024	Remote / On-site	Designed and developed responsive web interfaces || Implemented reusable components using modern frameworks || Collaborated with team members to deliver functional web solutions	HTML || CSS || JavaScript || React || Bootstrap || Tailwind CSS	true
Intern — Parking Policy Development Project	KSCSTE National Transportation Planning and Research Centre (NATPAC)	Feb 2024	Thalassery, Kerala, India	Conducted user opinion surveys and collected feedback from residents and commuters || Gathered land-use data to evaluate potential parking infrastructure sites || Observed parking behavior, entry/exit patterns, and utilization rates || Contributed data insights for regional planning and policy development		true
Trainee — Structural Design Program	S&R Consultants	Oct 2022 — Nov 2023	Remote / On-site	Modeled and analyzed structural systems using ETABS || Prepared beam-column layouts and bar bending schedules || Performed project estimation and cost analysis || Learned rebar optimization techniques for efficient construction	ETABS || Estimation Software || AutoCAD || Bar Bending Schedules || Structural Design	true
Intern — Bridge Construction Exposure	Kerala Irrigation Infrastructure Development Corporation Ltd.	May 2023	Thalassery, Kerala, India	Observed bridge construction processes and engineering practices || Gained understanding of quality control procedures and site coordination || Learned safety protocols and real-world construction workflows		true
Intern — Traffic Survey Project	KSCSTE National Transportation Planning and Research Centre (NATPAC)	Sep 2022	Muzhappilangad, Kerala, India	Conducted traffic surveys on selected road corridors || Collected data on vehicle volume, types, and peak-hour usage || Supported transportation planning and development studies		true
